no,name,name_short,furigana,category,nav_categories,has_answer,pamphlet_page,booth
1,㈱アカサカテック,,あかさかてっく,安全・快適ソリューション,,false,2,C-13
2,アサダ㈱,,あさだ,切断・電動工具,切断・電動工具|工具・消耗品,true,3,G-03
3,旭産業㈱,,あさひさんぎょう,,溶接・電源|保護具・安全,true,,C-02
4,アデリア㈱,,あでりあ,,,false,,G-26
5,アネスト岩田㈱,ANEST IWATA,あねすといわた,,油圧・空圧,true,,"C-14, E-04"
6,㈱アマダマシナリー,,あまだましなりー,金属加工機,切断・電動工具,true,3,B-09
7,アルインコ㈱,,あるいんこ,作業環境向上ブース,保護具・安全|物流・運搬|工具・消耗品,true,4,E-03
8,イーグルクランプ㈱,EAGLE CLAMP,いーぐるくらんぷ,,物流・運搬,true,,B-08
9,育良精機㈱,,いくらせいき,,切断・電動工具|溶接・電源,true,,F-12
10,㈱イチグチ,,いちぐち,切断・電動工具,切断・電動工具|工具・消耗品,true,3,A-08
11,㈱イチネンケミカルズ,,いちねんけみかるず,,工具・消耗品,true,,F-05
12,㈱内田時計店,,うちだとけいてん,,,true,,G-23
13,㈱ＡＩＲＭＡＮ,,えあーまん,,油圧・空圧|溶接・電源,false,,D-10
14,㈱ＡＭＳ,,えーえむえす,,,true,,G-24
15,㈱エクシード,,えくしーど,,溶接・電源,true,,C-18
16,㈱エスカディア,SCADIA,えすかでぃあ,,切断・電動工具,true,,C-20
17,㈱エステーリンク,ST-LINK,えすてーりんく,,溶接・電源|切断・電動工具|工具・消耗品,true,,C-16
18,㈱大崎電工,,おおさきでんこう,,溶接・電源|工具・消耗品,false,,F-09
19,㈱オートスイング（OTOS）,,おーとすいんぐ,溶接カメラ・保護具,溶接・電源|保護具・安全,true,2,E-04
20,㈱オグラ,OGURA,おぐら,切断・電動工具,切断・電動工具,true,3,G-10
21,オプティレーザーソリューションズ㈱,,おぷてぃれーざーそりゅーしょんず,,溶接・電源|切断・電動工具,true,,F-06
22,㈱柏田製作所,,かしだ,,保護具・安全,false,,C-10
23,カミマル㈱,,かみまる,工業用消耗品,溶接・電源|物流・運搬|工具・消耗品,true,,A-18 / 主-33
24,キスウェルジャパン㈱,,きすうぇるじゃぱん,,溶接・電源,false,,C-07
25,㈱キトー,,きとー,揚送機器,物流・運搬,true,4,B-22
26,㈱キャドマック,,きゃどまっく,板金加工機,,false,2,H-05
27,京セラインダストリアルツールズ㈱,,きょうせらいんだすとりあるつーるず,切断・電動工具,切断・電動工具|工具・消耗品,true,3,C-08
28,㈱KS・S,KSS,けーえすえす,レーザー加工機,溶接・電源|切断・電動工具,true,,H-02
29,㈱ケミカル山本,,けみかるやまもと,,工具・消耗品,true,,A-09
30,現代綜合金属ジャパン㈱,,げんだいそうごうきんぞくじゃぱん,,溶接・電源,false,,B-02
31,工機ホールディングス㈱,,こうきほーるでぃんぐす,切断・電動工具,切断・電動工具,true,3,H-10
32,興研㈱,,こうけん,空調・環境・安全・保護具,保護具・安全,false,4,B-17
33,㈱神戸製鋼所,KOBELCO,こうべせいこうしょ,溶接・電源,溶接・電源,true,,H-01
34,㈱五常,,ごじょう,安全・快適ソリューション,,false,2,C-13
